idx,dataset,example_id,prompt_id,source,subject,subtopic,question_number,prompt,question,choice_a,choice_b,choice_c,choice_d,answer,gold_passage,gold_idx,explain,explain_a,explain_b,explain_c,explain_d
371,mbe,mbe_0371,prompt_0371,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,48,,What is the legal effect of Z's conver- sation with Y?,There is no legal effect because X's offer was irrevocable.,There is no legal effect because Z was making an offer to pur- chase Y's truck.,"Z's conversation with Y termi- nated X's original offer, and op- erated as an offer for Z to pur- chase Y's truck for $7,000.","The conversation operated as a termination of Y's power of ac- ceptance of X's offer. Questions 49 - 50 are based on the following facts: Jack, a retired Olympic swimmer, decided to follow through with his long-time dream to build a large indoor swimming pool for the purpose of training youngsters for com- petition. Dan orally contracted with Jack on March 10 to build the pool, spectator bleach- ers and a parking lot. Bill has already orally agreed to permit the building of a parking lot on his",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
372,mbe,mbe_0372,prompt_0372,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,49,,"Assume that Jack tendered the $13,000 on March 20, and that Dan refused to accept it, or perform. If Jack sues Dan for breach ofcontract, which defense(s) can Dan successfully use?",The Jack-Bill agreement was not in writing.,The Jack-Dan agreement was not in writing.,Both A and B.,Neither A nor B. CONTRACTS III cc 0,D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
373,mbe,mbe_0373,prompt_0373,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,50,,"Assume that Jack paid the $13,000 on March 20, and that Dan completed the pool and bleachers, according to speci- fications. However, Jack then refused to pay the second installment, and re- pudiates the contract. Which of the fol- lowing is correct?","Dan has a cause of action against Jack for $5,000 in damages.","Dan can refuse to finish the park- ing lot, and not be liable for breach of contract.",Both A and B.,Neither A nor B.,A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
374,mbe,mbe_0374,prompt_0374,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,52,,"Seller, contracted in writing to deliver to Buyer, 10,000 cartons of milk on May 1 at $ 1.00 a carton. Because the farmers who supplied Seller with his milk did not deliver enough milk, Seller only had 9,000 cartons of milk to ful- fill his contract with Buyer. If Seller tenders only 9,000 cartons of milk to Buyer on May 1, and Buyer refuses to accept, or pay for any, which is the best statement regarding their contractual relationship?",The doctrine of impossibility of performance excuses Seller from performing the contact.,Seller can sue Buyer since he substantially performed the con- tract.,Buyer is obligated to give Seller time to cure. 72 CONTRACTS,"Buyer has a cause of action against Seller for Seller's failure to deliver 10,000 cartons ofmilk.",B,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
375,mbe,mbe_0375,prompt_0375,Flemings's Multistate Examination Workbook - Volume 1,Real Property,,53,,"Miller started a car wash in Columbus, Ohio. He leased his equipment from Americo in 1987, under a five-year lease which was renewable for 3 one-year periods. At the end of eight years, Americo would ""abandon"" the equipment to Miller (he would have paid for it in full). In May 1991, Miller defaulted. Americo repossessed and re- sold the equipment. Americo claims it is owed $2,000 by Miller, under a lease provision which provides that Americo could collect 10% of the equipment's total cost in the event of any default. Miller claims the liquidated damages clause is invalid. Is the liquidated dam- ages clause valid?","Yes, because there was a meet- ing of the minds.","Yes, because it is to determine whether or not Miller would de- fault at the inception ofthe lease.","No, because a 10% liquidated damages clause in any contract is unconscionable as a matter of law.","No, because the damages to Americo would not be difficult to ascertain. Questions 54 - 55 are based on the following facts: In a written contract, Manufacturer agreed to deliver to Baker, 200 described chairs at $100 each EO.B., at Manufacturer's place ofbusiness. The contract provided that ""nei- ther party will assign the contract without written consent of the other."" Manufacturer placed the chairs on the carrier on August",D,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
376,mbe,mbe_0376,prompt_0376,Flemings's Multistate Examination Workbook - Volume 1,Real Property,,54,,"In an action by Wheeler against Baker for breach ofcontract, Wheeler will re- cover:","$20,000, the contract price.",The difference between the con- tract price and the market value of the chairs.,"Nothing, because the chairs had not been delivered.","Nothing, because the Manufac- turer and Baker contract forbid an assignment.",A,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
377,mbe,mbe_0377,prompt_0377,Flemings's Multistate Examination Workbook - Volume 1,Real Property,,55,,"In an action by Baker against Manufac- turer for breach ofcontract, Barker will probably:","Succeed, since the risk of loss was on Manufacturer. CONTRACTS &I","Succeed, since the contract was not assigned.","Not succeed, since the risk of loss was on Baker.","Not succeed, since the chairs were destroyed making it impos- sible for Manufacturer to per- form.",B,,,"Estates: Fee simple > Defeasible > Life | Future: Reversion (grantor), Remainder (3rd party) | Recording: Race, Notice, Race-Notice.",Incorrect.,CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.
378,mbe,mbe_0378,prompt_0378,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,56,,"Billy Joe, a disabled veteran, contracted to purchase a certain piece ofland from Jermey. The property consisted of a tract ofland containing the famous tour- ist attraction, ""Blue Lagoon"". Billy was excited because he could now be a ho- meowner and receive income in order to pay the land payments and his living expenses. After BillyJoe purchased the property, he discovered that the home site was on Federal Reserve Land, and that the income from the lagoon was $36,000 rather than $39,000 as repre- sented. Billy Joe sued Jermey. Billy Joe can: Recover money damages only. II. Rescind the contract.",I only.,II only.,lor II.,Neither I nor II. III CONTRACTS,A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
379,mbe,mbe_0379,prompt_0379,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,57,,"The Bank of Commerce Inc. (""BCI"") loaned the Bombay Company $1 mil- lion for the manufacture of a new type of computer chip. As a condition of the loan, Wendy Wonder, a majority share- holder in Bombay, agreed in writing to personally guarantee the loan. There- after, Bombay defaulted on the loan and entered into a repayment agreement with BCL This agreement provided that BCI would ""use maximum efforts in selling Bombay's assets at the highest possible price."" BCI proceeded to sell Bombay's assets, discharging the in- debtedness of the Bombay Company. Later, it was ascertained that BCI did not realize the ""highest possible price"" in administering the sale of Bombay's assets. Consequently, Wendy was forced into bankruptcy and lost her en- tire investment in the Bombay Com- pany. Wendy brings an appropriate action against BCI to recover her investment in Bombay's stock. She will most likely:","Not prevail, because Wendy was an incidental beneficiary of the BCI sale of Bombay's assets.","Not prevail, because BCl's sale of Bombay's assets discharged whatever contractual relation- ship existed between Wendy and the bank.","Prevail, because BCI did not re- alize the highest possible price from the sale ofBombay's assets.","Prevail, because BCI breached its fiduciary duty to Wendy un- der the terms ofthe BCI-Bombay contract. Questions 58 - 59 are based on the following facts: On January 5, Prevention Company, a manu- facturer of steel security blinds for homes, received the following order from Lion Homes: ""Please ship 500 4' x 6' security shut- ters. Delivery by March 10."" On February 10, Prevention shipped 500 4' x 8' security shutters, which were received by Lion on February 12. The following day Lion's foreman,",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
380,mbe,mbe_0380,prompt_0380,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,58,,Did Lion properly refuse the first ship- ment delivered on February l2?,"No, because Lion waived its right to reject the nonconform- ing goods by not returning them. CONTRACTS iii","No, because Prevention could accept Lion's offer by prompt shipment ofeither conforming or nonconforming goods.","Yes, because the security shut- ters were nonconforming.","Yes, because Prevention did not notify Lion that the 4' x 8' secu- rity shutters were for accommo- dation only.",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
381,mbe,mbe_0381,prompt_0381,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,59,,Did Lion properly reject the security shutters delivered on March 7?,"No, because, under the VCC, a contract for the sale ofgoods can be modified without consider- ation.","No, because Prevention cured the February 10 defective ship- ment by tender of conforming goods on March 7.","Yes, because Prevention's ship- ping of the 4' x 8' security shut- ters on February constituted an- ticipatory breach.","Yes, because Prevention's ship- ping of the 4' x 8' security shut- ters on February 10 constituted a present breach. m CONTRACTS Questions 60 - 61 are based on the following facts: Tom wanted to have a security system in- stalled in his home. He contacted several companies and had them submit bids for the installation ofthe system. SecureCo, in tum, requested bids from several wholesalers for prices of burglar alarm components which it planned to use if awarded the job. BurgCo submitted a bid to",A,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",CORRECT. Properly applies the legal rule.,Incorrect.,Incorrect.,Incorrect.
382,mbe,mbe_0382,prompt_0382,Flemings's Multistate Examination Workbook - Volume 1,Contracts,,60,,"In an action by SecureCo against Tom, SecureCo will be able to recover:","$5,000, because that was the con- tract price.","$6,000, because of an unantici- pated change of circumstances.","Only in quantum merit, because SecureCo did not intend to oper- ate at a loss.","Only in quantum meruit, because by demanding $6,000 SecureCo repudiated its contract with Tom.",D,,,"OACK: Offer + Acceptance + Consideration + No Defenses | MY LEGS for SOF: Marriage, Year+, Land, Executor, Goods $500+, Surety | Mailbox: acceptance on dispatch.",Incorrect.,Incorrect.,Incorrect.,CORRECT. Properly applies the legal rule.
